Technology	Energy output [GWh/y]
CCGT_CCS	8917.227
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
IND_BOILER_OIL	3096.158
IND_BOILER_COAL	1771.055
IND_BOILER_WASTE	9132.787
DEC_HP_ELEC	35595.000
DEC_THERMAL_HP_GAS	8326.316
DEC_BOILER_GAS	20149.684
DEC_BOILER_OIL	7119.000
H2_FROM_GAS	6480.000
PYROLYSIS	8186.000

Resource	Energy consumption [GWh/y]
ELECTRICITY	10078.600
GASOLINE	7800.000
OIL	3558.271
NG	40597.774
NG_CCS	15605.147
WOOD	12279.000
COAL	2160.687
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_DIESEL	1985.185
BUS_NG	13014.815
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
