Technology	Installed capacity [GW]
NUCLEAR	10.000000
WIND	2.866868
HYDRO_DAM_EXISTING	8.080000
HYDRO_DAM	0.440000
HYDRO_RIVER_EXISTING	3.800000
IND_BOILER_OIL	0.627775
IND_BOILER_WASTE	1.598174
IND_HEATER_ELEC	0.637523
DHN_HP_ELEC	0.905441
DHN_BOILER_GAS	0.940425
DHN_BOILER_OIL	1.670832
DHN_GEOTHERMAL	1.136108
DEC_HP_ELEC	14.257390
DEC_BOILER_GAS	5.702956
DEC_BOILER_OIL	2.851478
THERMAL_SOLAR	2.799790
DEC_HEATER_ELEC	4.637946
P2G_INVESTMENT	3.196586
H2_ELECTROLYSIS	1.165445
PYROLYSIS	1.086599

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000
P2G_STORAGE	1630.589398

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.712329
CAR_DIESEL	1.712329
CAR_PHEV	0.856164
CAR_BEV	2.568493
CAR_FC	1.712329
BUS_DIESEL	0.570776
BUS_FC	1.141553
TRAIN_PUBLIC	3.995434
TRAIN_FREIGHT	1.598174
TRUCK_FREIGHT_FC	2.397260
