Technology	Energy output [GWh/y]
NUCLEAR	34423.040
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
IND_BOILER_OIL	2786.482
IND_BOILER_WASTE	8413.518
IND_HEATER_ELEC	2800.000
DEC_HP_ELEC	35595.000
DEC_THERMAL_HP_GAS	8326.316
DEC_BOILER_GAS	14794.384
DEC_BOILER_OIL	7119.000
THERMAL_SOLAR	989.809
DEC_HEATER_ELEC	4365.491
H2_ELECTROLYSIS	4175.475
H2_FROM_GAS	2842.425
PYROLYSIS	8186.000

Resource	Energy consumption [GWh/y]
GASOLINE	7800.000
DIESEL	670.737
OIL	3223.821
NG	28320.314
WOOD	12279.000
URANIUM	92942.207
WASTE	10264.492

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_DIESEL	4469.398
BUS_NG	8191.904
BUS_FC	2338.698
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
