Technology	Energy output [GWh/y]
NUCLEAR	13405.889
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
IND_BOILER_OIL	1855.663
IND_BOILER_COAL	211.550
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	2800.000
DEC_HP_ELEC	35595.000
DEC_THERMAL_HP_GAS	8326.316
DEC_BOILER_GAS	20149.684
DEC_BOILER_OIL	7119.000
H2_ELECTROLYSIS	276.331
H2_FROM_GAS	6203.669
PYROLYSIS	6579.000

Resource	Energy consumption [GWh/y]
ELECTRICITY	9150.323
GASOLINE	7800.000
DIESEL	1071.000
OIL	3825.537
NG	40845.660
WOOD	9868.500
COAL	258.091
URANIUM	36195.901
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_NG	15000.000
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
