End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	4.730495	4.667420	4.374777	3.920673	3.803002	3.620924	3.632851	3.573614	3.931376	4.400480	4.963176	5.016906	
HEAT_HIGH_T	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
HEAT_LOW_T_DHN	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403	
HEAT_LOW_T_DECEN	17.277839	17.122309	12.923000	3.429452	0.729452	0.729452	0.729452	0.729452	2.529452	8.568162	13.329452	19.890742	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	
MOB_PRIVATE	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	
MOB_FREIGHT_RAIL	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
MOB_FREIGHT_ROAD	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	
