Technology	GWP_construction [ktCO2-eq/y]
NUCLEAR	176.975000
CCGT_CCS	18.742128
PV	94.744914
WIND	165.055250
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
HYDRO_RIVER	26.838750
GEOTHERMAL_ELEC	115.010000
IND_BOILER_OIL	0.454214
IND_BOILER_WASTE	2.716895
IND_HEATER_ELEC	0.063752
DHN_HP_ELEC	5.516494
DHN_BOILER_GAS	0.394138
DHN_GEOTHERMAL	26.762834
DEC_HP_ELEC	130.613534
DEC_BOILER_GAS	7.078375
DEC_BOILER_OIL	3.539187
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.304271
H2_ELECTROLYSIS	0.024474
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000
P2G_STORAGE	0.290991

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2730.000000
DIESEL	260.480000
OIL	981.011545
NG	147.735626
NG_CCS	455.846779
WOOD	147.348000
URANIUM	803.221920
WASTE	1549.716290
