Technology	Energy output [GWh/y]
CCGT_CCS	35434.193
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
HYDRO_RIVER	3602.640
IND_BOILER_OIL	2653.856
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	2213.357
DEC_HP_ELEC	35595.000
DEC_THERMAL_HP_GAS	8326.316
DEC_BOILER_GAS	14238.000
DEC_BOILER_OIL	7119.000
THERMAL_SOLAR	2530.842
DEC_HEATER_ELEC	3380.843
H2_ELECTROLYSIS	7583.684
PYROLYSIS	8186.000

Resource	Energy consumption [GWh/y]
GASOLINE	7800.000
DIESEL	1016.971
OIL	3080.584
NG	22762.197
NG_CCS	62009.838
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_DIESEL	5751.745
BUS_NG	4449.630
BUS_FC	4798.625
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
